basis,rep,discord
Z,1,0.378746933990443
Z,2,0.40114552730055997
Z,3,0.39220656016796607
Z,4,0.4096674713105318
Z,5,0.3873161360264413
Z,6,0.4184773799702626
Z,7,0.3941663275425209
Z,8,0.3975066166249883
Z,9,0.40138410268999225
Z,10,0.41089992520636065
X,1,0.4329976944070455
X,2,0.4386237116524492
X,3,0.4368555490381216
X,4,0.4115712244950469
X,5,0.4454623649313283
X,6,0.4386429545876105
X,7,0.4495208393774526
X,8,0.4413863372234905
X,9,0.4459872354407426
X,10,0.43925657727630885
