test_type,n_qubits,theta,basis,mean,std,sem,n_measurements,min,max
v1_software,4,75,Z,0.04782294765938344,0.005686366354478833,0.0040208682095630105,2,0.04213658130490461,0.053509314013862275
v1_software,4,75,X,0.3210294909597333,0.007552649996884986,0.00534053002872593,2,0.31347684096284834,0.3285821409566183
v2_formula,4,0,Z,0.49962131284212724,0.49962131284212724,0.35328561833599365,2,0.0,0.9992426256842545
v2_formula,2,0,Z,0.9999995383375376,0.0,0.0,1,0.9999995383375376,0.9999995383375376
v4_reproducibility,4,75,Z,0.04570067293975919,0.0032274233903186694,0.0014433476185850762,5,0.040008347903083274,0.04910613245033968
v4_reproducibility,4,75,X,0.3231915243807813,0.013470420795255475,0.006024155316743603,5,0.30820990159683204,0.34292746495413784
s1_scaling,4,75,Z,0.04976611078467763,0.004348281028514019,0.0019446103930060095,5,0.04279030316149157,0.055827787111305316
s1_scaling,4,75,X,0.3225237003092879,0.005358101706217175,0.002396215929091842,5,0.31359634534546066,0.32849196642667744
s1_scaling,6,75,Z,0.04813211622104672,0.003542045496320112,0.0015840509018337503,5,0.04252807855661089,0.053154611475103586
s1_scaling,6,75,X,0.31372572602960547,0.007216993634752567,0.0032275376720980057,5,0.2997828687324926,0.32047048391979693
s1_scaling,8,75,Z,0.04549321975294256,0.005963140556092324,0.0026667975285616665,5,0.0379494919361385,0.05208049267509218
s1_scaling,8,75,X,0.33264622446047093,0.008491768030324316,0.003797634112992933,5,0.3226479388667167,0.3447897137731104
s2_hierarchy,4,75,Y,0.9999953833691717,2.7699803877290208e-06,1.9586719159169325e-06,2,0.999992613388784,0.9999981533495594
s2_hierarchy,4,75,Bell,0.7235137051924722,0.0031884985868478877,0.0022546089725638653,2,0.7203252066056243,0.72670220377932
s2_hierarchy,6,75,Y,0.9999661829497835,7.848383668296322e-06,5.5496453132060794e-06,2,0.9999583345661152,0.9999740313334518
s2_hierarchy,6,75,Bell,0.7399812718670946,0.017253897966968967,0.012200348254344542,2,0.7227273739001256,0.7572351698340636
s2_hierarchy,8,75,Y,0.9999084734041888,1.939064147338243e-05,1.3711254077385822e-05,2,0.9998890827627154,0.9999278640456621
s2_hierarchy,8,75,Bell,0.7341517050680961,0.0019447365032521091,0.0013751363690705806,2,0.732206968564844,0.7360964415713482
s3_angular,6,0,Z,0.9999740313334506,0.0,0.0,1,0.9999740313334506,0.9999740313334506
s3_angular,6,0,X,0.9998586112670829,0.0,0.0,1,0.9998586112670829,0.9998586112670829
s3_angular,6,45,Z,0.4133005530644367,0.0,0.0,1,0.4133005530644367,0.4133005530644367
s3_angular,6,45,X,0.4456114877798081,0.0,0.0,1,0.4456114877798081,0.4456114877798081
s3_angular,6,90,Z,0.00034160536813798714,0.0,0.0,1,0.00034160536813798714,0.00034160536813798714
s3_angular,6,90,X,0.38909890266725267,0.0,0.0,1,0.38909890266725267,0.38909890266725267
s3_angular,8,0,Z,0.9998333334507572,0.0,0.0,1,0.9998333334507572,0.9998333334507572
s3_angular,8,0,X,0.9990855998036325,0.0,0.0,1,0.9990855998036325,0.9990855998036325
s3_angular,8,45,Z,0.4079993604138126,0.0,0.0,1,0.4079993604138126,0.4079993604138126
s3_angular,8,45,X,0.4695713488917139,0.0,0.0,1,0.4695713488917139,0.4695713488917139
s3_angular,8,90,Z,0.0007209506168792679,0.0,0.0,1,0.0007209506168792679,0.0007209506168792679
s3_angular,8,90,X,0.39639386521104036,0.0,0.0,1,0.39639386521104036,0.39639386521104036
c1_control,4,90,Z,0.0002509485733976913,0.0,0.0,1,0.0002509485733976913,0.0002509485733976913
c1_control,4,90,X,0.39388399240090655,0.0,0.0,1,0.39388399240090655,0.39388399240090655
c1_control,6,90,Z,0.00023661382300055323,0.0,0.0,1,0.00023661382300055323,0.00023661382300055323
c1_control,6,90,X,0.40831801451403305,0.0,0.0,1,0.40831801451403305,0.40831801451403305
c1_control,8,90,Z,0.0010522603487685966,0.0,0.0,1,0.0010522603487685966,0.0010522603487685966
c1_control,8,90,X,0.4084789436519447,0.0,0.0,1,0.4084789436519447,0.4084789436519447
