n,theta,z_discord,x_discord,delta,enhancement
4,0,0.9994662524244748,0.9999926133887842,0.0005263609643093581,1.000526642058231
4,30,0.6462701872141039,0.6446523130240625,-0.0016178741900414462,0.9974965978285094
4,45,0.39429698454635975,0.44008725400601767,0.04579026945965792,1.1161314218832787
4,60,0.19632026734351027,0.32140973204917733,0.12508946470566706,1.6371704073058972
4,75,0.052474406544218644,0.30917558894046726,0.2567011823962486,5.891931120363106
4,90,0.0006252244205382507,0.40026959214306634,0.3996443677225281,0
6,0,0.9999158603894969,0.9998890827627149,-2.6777626781937514e-05,0.9999732201199694
6,30,0.625992777385689,0.6237126233630867,-0.0022801540226022876,0.996357539407843
6,45,0.3894920342332451,0.446519727205998,0.0570276929727529,1.1464155565723384
6,60,0.18091861061069703,0.3279347063954514,0.14701609578475439,1.812609025066556
6,75,0.05121485046267504,0.32147526749301036,0.2702604170303353,6.276993188280397
6,90,9.458605572265633e-05,0.41017084648726687,0.4100762604315442,0
8,0,0.9999278640456616,0.999745031911818,-0.0001828321338436245,0.9998171546764345
8,30,0.6268425583205839,0.6604646480822369,0.03362208976165304,1.0536372161005345
8,45,0.3967775989246629,0.45492756827602143,0.05814996935135852,1.1465555754885235
8,60,0.19358138856616924,0.338675025181181,0.14509363661501173,1.7495226565410051
8,75,0.05705370309464142,0.32726355983384003,0.2702098567391986,5.736061676679794
8,90,0.00033945937059454145,0.4030008213468905,0.402661361976296,0
