n_qubits,theta,basis,method,discord,validated
4,0,Z,steering,0.9994662524244748,True
4,0,Z,conditional,0.9994662524244748,True
4,0,Z,mutual_info_fixed,0,False
4,0,X,steering,0.9999926133887842,True
4,0,X,conditional,0.9999926133887842,True
4,0,X,mutual_info_fixed,0,False
4,30,Z,steering,0.6462701872141039,True
4,30,Z,conditional,0.6462701872141039,True
4,30,Z,mutual_info_fixed,2.220446049250313e-16,False
4,30,X,steering,0.6446523130240625,True
4,30,X,conditional,0.6446523130240625,True
4,30,X,mutual_info_fixed,4.440892098500626e-16,False
4,45,Z,steering,0.39429698454635975,True
4,45,Z,conditional,0.39429698454635975,True
4,45,Z,mutual_info_fixed,0,False
4,45,X,steering,0.44008725400601767,True
4,45,X,conditional,0.44008725400601767,True
4,45,X,mutual_info_fixed,0,False
4,60,Z,steering,0.19632026734351027,True
4,60,Z,conditional,0.19632026734351027,True
4,60,Z,mutual_info_fixed,0,False
4,60,X,steering,0.32140973204917733,True
4,60,X,conditional,0.32140973204917733,True
4,60,X,mutual_info_fixed,0,False
4,75,Z,steering,0.052474406544218644,True
4,75,Z,conditional,0.052474406544218644,True
4,75,Z,mutual_info_fixed,0,False
4,75,X,steering,0.30917558894046726,True
4,75,X,conditional,0.30917558894046726,True
4,75,X,mutual_info_fixed,0,False
4,90,Z,steering,0.0006252244205382507,True
4,90,Z,conditional,0.0006252244205382507,True
4,90,Z,mutual_info_fixed,2.220446049250313e-16,False
4,90,X,steering,0.40026959214306634,True
4,90,X,conditional,0.40026959214306634,True
4,90,X,mutual_info_fixed,8.881784197001252e-16,False
6,0,Z,steering,0.9999158603894969,True
6,0,Z,conditional,0.9999158603894969,True
6,0,Z,mutual_info_fixed,0,False
6,0,X,steering,0.9998890827627149,True
6,0,X,conditional,0.9998890827627149,True
6,0,X,mutual_info_fixed,4.440892098500626e-16,False
6,30,Z,steering,0.625992777385689,True
6,30,Z,conditional,0.625992777385689,True
6,30,Z,mutual_info_fixed,0,False
6,30,X,steering,0.6237126233630867,True
6,30,X,conditional,0.6237126233630867,True
6,30,X,mutual_info_fixed,8.881784197001252e-16,False
6,45,Z,steering,0.3894920342332451,True
6,45,Z,conditional,0.3894920342332451,True
6,45,Z,mutual_info_fixed,2.220446049250313e-16,False
6,45,X,steering,0.446519727205998,True
6,45,X,conditional,0.446519727205998,True
6,45,X,mutual_info_fixed,0,False
6,60,Z,steering,0.18091861061069703,True
6,60,Z,conditional,0.18091861061069703,True
6,60,Z,mutual_info_fixed,0,False
6,60,X,steering,0.3279347063954514,True
6,60,X,conditional,0.3279347063954514,True
6,60,X,mutual_info_fixed,0,False
6,75,Z,steering,0.05121485046267504,True
6,75,Z,conditional,0.05121485046267504,True
6,75,Z,mutual_info_fixed,2.220446049250313e-16,False
6,75,X,steering,0.32147526749301036,True
6,75,X,conditional,0.32147526749301036,True
6,75,X,mutual_info_fixed,0,False
6,90,Z,steering,9.458605572265633e-05,True
6,90,Z,conditional,9.458605572265633e-05,True
6,90,Z,mutual_info_fixed,0,False
6,90,X,steering,0.41017084648726687,True
6,90,X,conditional,0.41017084648726687,True
6,90,X,mutual_info_fixed,1.7763568394002505e-15,False
8,0,Z,steering,0.9999278640456616,True
8,0,Z,conditional,0.9999278640456616,True
8,0,Z,mutual_info_fixed,0,False
8,0,X,steering,0.999745031911818,True
8,0,X,conditional,0.999745031911818,True
8,0,X,mutual_info_fixed,0,False
8,30,Z,steering,0.6268425583205839,True
8,30,Z,conditional,0.6268425583205839,True
8,30,Z,mutual_info_fixed,2.220446049250313e-16,False
8,30,X,steering,0.6604646480822369,True
8,30,X,conditional,0.6604646480822369,True
8,30,X,mutual_info_fixed,0,False
8,45,Z,steering,0.3967775989246629,True
8,45,Z,conditional,0.3967775989246629,True
8,45,Z,mutual_info_fixed,0,False
8,45,X,steering,0.45492756827602143,True
8,45,X,conditional,0.45492756827602143,True
8,45,X,mutual_info_fixed,0,False
8,60,Z,steering,0.19358138856616924,True
8,60,Z,conditional,0.19358138856616924,True
8,60,Z,mutual_info_fixed,0,False
8,60,X,steering,0.338675025181181,True
8,60,X,conditional,0.338675025181181,True
8,60,X,mutual_info_fixed,0,False
8,75,Z,steering,0.05705370309464142,True
8,75,Z,conditional,0.05705370309464142,True
8,75,Z,mutual_info_fixed,4.440892098500626e-16,False
8,75,X,steering,0.32726355983384003,True
8,75,X,conditional,0.32726355983384003,True
8,75,X,mutual_info_fixed,0,False
8,90,Z,steering,0.00033945937059454145,True
8,90,Z,conditional,0.00033945937059454145,True
8,90,Z,mutual_info_fixed,2.220446049250313e-16,False
8,90,X,steering,0.4030008213468905,True
8,90,X,conditional,0.4030008213468905,True
8,90,X,mutual_info_fixed,0,False
